supplier_name,total_water_production_16,total_water_production_15,total_water_production_13,savings_16,savings_15,savings_change,residential_water_usage_mean_16,cc_score
Casitas Municipal Water District,1327417699.65563,1129176208.49737,1453277813.3343801,-0.08660430409377706,-0.22301421095351065,0.1364099068597336,125.87153415126967,1.5304166261820142
Golden State Water Company Orcutt,590801222.2937,493730082.1904,828737934.2890999,-0.2871073015373727,-0.4042385876616993,0.1171312861243266,166.38416368597532,1.5108762902999067
California Water Service Company Palos Verdes,1660766967.9909,1439416093.6298,2087469411.6474001,-0.20441135150323128,-0.3104492522868471,0.10603790078361583,202.4762586583273,1.50885732361137
Golden State Water Company Simi Valley,567372504.6924,461079769.205,730037537.0508001,-0.22281735404392083,-0.3684163542224604,0.14559900017853955,106.5229291223854,1.5027264917102048
California Water Service Company Chico District,2263657278.2263002,1882313353.2082,3308532464.0445,-0.31581228147929274,-0.4310730290047767,0.11526074752548393,169.27868844560032,1.4996246642502304
Sunnyslope County Water District,233971408.0,191872472.0,302628084.0,-0.226868158078812,-0.36597929225894316,0.13911113418013116,115.96930606328401,1.4980745313586816
Camrosa Water District,722947009.99928,626286442.694,870675012.944,-0.16967065868263476,-0.280688622754491,0.11101796407185627,180.378576834045,1.491027785611896
Amador Water Agency,350910000.0,287480000.0,431220000.0,-0.18623904271601502,-0.3333333333333333,0.1470942906173183,102.60642554522207,1.4899891140119677
Rancho California Water District,3704930724.99,3262098635.697,4645012091.885,-0.20238512802525438,-0.297720098211154,0.09533497018589965,243.28610106025533,1.486999711562435
Newhall County Water District,934235592.29462,789792171.73406,1142611062.83258,-0.18236780416022635,-0.3087830168770355,0.12641521271680917,138.329230930998,1.486812901645703
Elsinore Valley Municipal Water District,2435283224.8272,2070753233.4422998,2799617705.3559,-0.13013722546178286,-0.26034428576416774,0.13020706030238488,128.354551289493,1.47516354152145
"Lathrop, City of ",429130000.0,357810000.0,539380000.0,-0.2044013496978012,-0.33662723868144906,0.13222588898364787,123.72710371618366,1.4707840752851038
California Water Service Company Westlake,649356723.7256,570435508.1062,867155817.5323999,-0.2511648880204418,-0.34217646174658045,0.09101157372613866,260.9580135553933,1.4702187020664181
California-American Water Company Sacramento District,3114813790.693,2556630296.242,4278429236.51,-0.27197258187357204,-0.4024371667936024,0.13046458492003038,124.89701363831432,1.4580373994231914
Bakersfield  City of,4059193932.1856403,3557551043.9088,5118824477.56661,-0.20700661841890264,-0.305006245183857,0.09799962676495436,220.71182976369064,1.4559190455217006
Upland  City of,1854962368.702352,1605515470.0183759,2351930680.356152,-0.21130227850871194,-0.31736275927347773,0.10606048076476579,186.80281459291768,1.4495903832527166
Groveland Community Services District,46559260.0,39207168.0,59894604.0,-0.2226468347632785,-0.34539732494099135,0.12275049017771283,139.21730107526867,1.448337715550297
Poway  City of,1016301274.1845698,860215182.1373,1364437680.2771,-0.2551500967210376,-0.3695460081675543,0.11439591144651667,159.66576049564165,1.445494354486164
Coalinga City of,425887815.089,364627746.813,564048820.137,-0.24494511842865394,-0.3535528596187174,0.10860774119006347,176.5032007553683,1.4429027930715432
Vista Irrigation District,1733529591.64,1438634050.205,2019301293.119,-0.1415200903663062,-0.2875584960464741,0.1460384056801679,97.27877600851944,1.4403768471099905
Atascadero Mutual Water Company,537000000.0,452910000.0,694000000.0,-0.22622478386167147,-0.3473919308357349,0.12116714697406342,140.01135794950497,1.4337271714998532
Fairfield  City of,2160000000.0,1816000000.0,2484000000.0,-0.13043478260869565,-0.2689210950080515,0.13848631239935585,106.819969255359,1.4313079232108719
Golden State Water Company San Dimas,1052760790.3515999,884816964.8757999,1351762059.7668,-0.22119371323883907,-0.34543438434095075,0.12424067110211168,131.30877383818964,1.4236743534437188
Vallecitos Water District,1350686750.0577002,1120309791.1687,1632613404.6980999,-0.17268427040296971,-0.31379358521445816,0.14110931481148845,101.5778459462659,1.4221820160141916
City of Newman Water Department,242231000.0,208098000.0,288857000.0,-0.16141551009669144,-0.27958124608370233,0.11816573598701088,141.76643490800234,1.4069487348734675
Diablo Water District,536005000.0,448729000.0,689433000.0,-0.2225422919993676,-0.3491332732839884,0.12659098128462082,121.28464294356634,1.3941377060898756
Shafter  City of,538000000.0,465000000.0,670000000.0,-0.19701492537313434,-0.30597014925373134,0.108955223880597,162.86511826510335,1.3904715166503878
Laguna Beach County Water District,314625845.33984995,261160143.19769,372484024.71797,-0.15533063309742737,-0.2988688752613484,0.14353824216392105,92.97746236004572,1.3840649404905412
California Water Service Company Bakersfield,6818082673.4053,5936556807.9422,9004936770.2877,-0.242850577707336,-0.34074419850118154,0.09789362079384553,198.21022770050163,1.37821642797512
California-American Water Company San Diego District,990262486.6529999,814628567.5,1128423491.701,-0.12243719318509971,-0.2780825873520069,0.1556453941669072,74.71313360467259,1.3453483473722339
Jurupa Community Service District,2462556337.564246,2165323463.843375,2908927499.205893,-0.1534487063577561,-0.25562824634354553,0.10217953998578944,170.34007083053532,1.333590075683261
Woodland  City of,1054096528.0,884229081.0,1381365800.0,-0.23691716705307167,-0.3598878146541633,0.12297064760109164,116.99883032511467,1.330124277085055
Cucamonga Valley Water District,4576023805.31485,3972090770.5130405,5645452873.711781,-0.18943193616525594,-0.2964088339114122,0.10697689774615626,152.71875975634967,1.3220144244227916
Lodi  City of Public Works Department,1541700000.0,1349800000.0,1918600000.0,-0.1964453247159387,-0.29646617325132907,0.10002084853539037,170.62050616201768,1.3064901734473695
Loma Linda  City of *,512414403.01458,451819071.64966,595108978.15864,-0.13895702834114507,-0.24077927197862373,0.10182224363747866,164.11363745625263,1.3044126387101918
Santa Margarita Water District,2575301583.0091,2185713616.8879,3080762316.5715003,-0.16407001956740186,-0.2905283198476917,0.12645830028028981,106.01390457616127,1.3020532781230754
Adelanto City of,434024228.541288,387316100.0,393342171.40125597,0.10342663486883408,-0.015320176272451228,0.11874681114128531,117.48340364593032,1.2870938520175168
Galt  City of,531900000.0,464400000.0,733800000.0,-0.2751430907604252,-0.3671300081766149,0.0919869174161897,195.1323895310223,1.28496336780224
Banning  City of,783998533.362,672231493.901,994172703.777,-0.21140609636184854,-0.3238282530317928,0.11242215666994426,129.7346356351354,1.2805008780868885
Rosamond Community Service District,263000000.0,227100000.0,331200000.0,-0.20591787439613526,-0.31431159420289856,0.1083937198067633,136.10934937124134,1.2645852136531825
Joshua Basin Water District,152092131.106531,131157480.32748899,178006443.392987,-0.14558075422722014,-0.2631868946567793,0.11760614042955916,114.57178704637056,1.2588350923943397
"Tehachapi, City of",232347708.319496,205232307.673118,297620636.919001,-0.2193158689371038,-0.3104231285918085,0.09110725965470468,186.3715985964087,1.24377793838636
California Water Service Company Marysville,213921461.82549998,184953269.9652,270717365.5516,-0.20979778526721232,-0.3168030813673567,0.10700529610014436,134.27875289390002,1.2399635609747717
Placer County Water Agency,3161565930.0,2830284206.0,3800783338.0,-0.16818043838730384,-0.25534187184441925,0.08716143345711541,201.910760085138,1.238523056501409
Riverside  City of,6376912426.39,5592913893.028,7517718272.317001,-0.15174894889688365,-0.2560357158337308,0.10428676693684716,140.2524342821067,1.235049623769637
Paso Robles  City of,609275000.0,521444000.0,791441000.0,-0.23017003162585714,-0.34114608669502844,0.1109760550691713,123.291411236598,1.2322411124365154
Chino Hills  City of,1338542727.055098,1173023999.91854,1586589755.7339761,-0.15633973923153716,-0.2606633216436693,0.10432358241213213,137.803495661694,1.2246517552663576
Davis  City of,1158200000.0,1001200000.0,1446400000.0,-0.1992533185840708,-0.30779867256637167,0.10854535398230086,126.27766865604035,1.219760364143121
Manteca  City of,1407361000.0,1228755000.0,1817968000.0,-0.2258604111843553,-0.32410526477913804,0.09824485359478274,152.20023976354966,1.2120414661456136
Golden State Water Company Placentia,608332029.0662999,517614991.7895,749751548.3843,-0.18862184362640716,-0.3096179755747751,0.12099613194836795,99.89659002808669,1.2093355473338132
Contra Costa Water District,2601271941.741,2178968492.349,3638782885.309,-0.28512581713978685,-0.4011820542670368,0.11605623712724994,108.51586239762906,1.2089688149577666
"Tulare, City of",1767600000.0,1561700000.0,2130200000.0,-0.17021875880199042,-0.2668763496385316,0.09665759083654116,155.737162135638,1.206235468925829
Triunfo Sanitation District / Oak Park Water Service,198801955.61270002,172766426.5954,270847706.1224,-0.26600096246390753,-0.3621270452358036,0.09612608277189605,157.441552994605,1.2061489059684054
West Kern Water District,1679672867.78544,1470228604.56692,1905129470.12674,-0.11834187958170704,-0.22827890302431145,0.1099370234426044,118.31420306230508,1.1958106462268954
Desert Water Agency,2816494129.67454,2501593433.592512,3730332342.5980997,-0.24497501267865324,-0.32939127030965726,0.08441625763100402,200.551861130612,1.1954720952828506
Turlock  City of,2031050000.0,1803387400.0,2484110000.0,-0.18238322779587055,-0.2740307796353624,0.09164755183949183,168.58665734418832,1.1899602879966347
Padre Dam Municipal Water District,973057531.3074,822970364.0312002,1223604693.5277,-0.20476152432691538,-0.32742137359857243,0.12265984927165705,93.49950926454345,1.1860611822130527
Mesa Water District,1483731887.7018,1285940071.5128,1721440503.6983,-0.13808703552972787,-0.252986049328967,0.11489901379923914,104.3585890782944,1.1737629598957138
